,LDR 0 ,LDR 1,LDR 2,LDR 3,LDR 4,,,,,,,,,,,assay,968
T = 0,925,891,913,967,926,,,,,,,,,,,,934
T = 1,924,891,911,967,925,,,,,,,,,,,,916
T = 2,923,889,909,966,926,,,,,,,,,,,,968
T = 3,921,887,907,964,921,,,,,,,,,,,,918
T = 4 ,919,886,903,962,917,,,,,,,,,,,,
T = 5,917,886,899,960,914,,,,,,,,,,,,
T = 6,916,883,895,958,911,,,,,,,,,,,Open Box,1010
T = 7,914,880,890,956,909,,,,,,,,,,,,1010
T = 8,911,878,888,956,907,,,,,,,,,,,,1006
T = 9,911,877,885,954,905,,,,,,,,,,,,1012
T = 10,910,876,884,954,904,,,,,,,,,,,,1011
T = 11,910,875,882,953,902,,,,,,,,,,,,
T = 12,910,873,879,950,898,,,,,,,,,,,,
T = 13,909,873,875,949,896,,,,,,,,,,,,
T = 14,909,872,873,948,894,,,,,,,,,,,,
T = 15,908,871,872,947,893,,,,,,,,,,,,
T = 16,908,870,870,946,892,,,,,,,,,,,,
T = 17,908,870,869,946,891,,,,,,,,,,,assay (alginate),
T = 18,908,870,867,945,890,,,,,,,,,,,926,
T = 19,908,869,866,944,888,,,,,,,,,,,893,
T = 20,908,869,865,943,887,,,,,,,,,,,916,
T = 25,908,868,865,943,887,,,,,,,,,,,968,
T = 30,907,867,865,943,887,,,,,,,,,,,928,
